experiment	description	build_ok	test_ok	offline_time_ms	offline_rtf	segmented_time_ms	segmented_rtf	streaming_time_ms	streaming_rtf	status
0	baseline	yes	yes	2712	10.38	2736	10.29	8984	3.13	baseline
1	swiglu-simd-decode	yes	yes	2731	10.31	2795	10.08	9559	2.95	reverted
2	blas-causal-attention	yes	yes	2577	10.93	2729	10.32	8736	3.22	kept
3	skip-attn-threading-small-seq	yes	yes	-	-	-	-	-	-	reverted
4	spin-wait-threadpool	yes	yes	4426	6.36	4349	6.48	14909	1.89	reverted
5	hybrid-attn-threshold	yes	yes	2958	9.52	3000	9.39	9738	2.89	reverted
6	neon-embed-no-alloc-norm	yes	yes	2841	9.91	2918	9.65	9617	2.93	kept
7	fat-lto-codegen-units-1	yes	yes	2722	10.35	2782	10.12	8866	3.18	reverted
8	head-contiguous-kv-cache	yes	yes	2501	11.26	2493	11.29	8668	3.25	kept
9	blas-batched-mel-spectrogram	yes	yes	2272	12.40	2335	12.06	7953	3.54	kept
10	fused-gate-up-swiglu	yes	yes	2231	12.62	2269	12.41	8060	3.49	kept
11	vdsp-softmax-attention	yes	yes	2167	12.99	2253	12.50	7531	3.74	kept
12	sgemv-attention	yes	yes	2369	11.89	2335	12.06	8108	3.47	reverted
13	fused-encoder-qkv	yes	yes	2467	11.43	-	-	-	-	reverted
14	online-softmax-single-token	yes	yes	2166	13.02	-	-	-	-	kept
15	neon-vectorized-rope	yes	yes	2140	13.18	-	-	-	-	kept
16	fused-residual-add-matvec	yes	yes	2130	13.24	-	-	-	-	kept
17	vvtanhf-gelu	yes	yes	2152	13.09	-	-	-	-	reverted
18	no-thread-single-token-attn	yes	yes	2214	12.72	-	-	-	-	reverted
19	inline-neon-helpers	yes	yes	2155	13.06	-	-	-	-	reverted
20	perf-cores-only-threads	yes	yes	1945	14.50	-	-	-	-	kept
21	neon-swiglu-stack-buf	yes	yes	1930	14.58	-	-	-	-	reverted
22	fused-encoder-qkv-sgemm	yes	yes	1926	14.62	-	-	-	-	reverted
23	hybrid-spin-wait-threadpool	yes	yes	1845	15.28	-	-	-	-	kept
24	lockfree-threadpool-fastpath	yes	yes	1775	15.89	-	-	-	-	kept
25	full-spinwait-no-condvar	yes	yes	1976	14.27	-	-	-	-	reverted
26	skip-condvar-notify-waiters	yes	yes	1880	15.00	-	-	-	-	reverted
27	vdsp-gelu-vvtanhf	yes	yes	1915	14.73	-	-	-	-	reverted
28	threadlocal-im2col-buf	yes	yes	1910	14.76	-	-	-	-	reverted
29	fast-exp-online-softmax	yes	yes	1886	14.95	-	-	-	-	reverted
30	fused-encoder-qkv-sgemm	yes	yes	1876	15.03	-	-	-	-	reverted
31	spin-count-2048	yes	yes	1920	14.69	-	-	-	-	reverted
32	prealloc-encoder-conv-bufs	yes	yes	1900	14.97	-	-	-	-	reverted
33	fused-encoder-qkv-sgemm-v2	yes	yes	1900	14.84	-	-	-	-	reverted
34	fused-residual-encoder-sgemm	yes	yes	1858	15.17	-	-	-	-	kept
35	skip-copy-cache-pe	yes	yes	1870	15.07	-	-	-	-	reverted
36	vdsp-vadd-bias-add	yes	yes	1860	15.16	-	-	-	-	reverted
37	sw-prefetch-bf16-matvec	yes	yes	1870	15.13	-	-	-	-	reverted
38	int8-argmax-sdot	yes	yes	1813	15.56	-	-	-	-	kept
39	int8-decoder-ffn	yes	yes	1650	17.10	-	-	-	-	kept
40	int8-decoder-attn-qkvo	yes	yes	1565	17.98	-	-	-	-	kept
41	neon-vectorized-quantize	yes	yes	1590	17.73	-	-	-	-	reverted
42	int8-matvec-4row-unroll	yes	yes	1670	16.87	-	-	-	-	reverted
43	int8-matvec-64elem-inner	yes	yes	1625	17.34	-	-	-	-	reverted
44	neon-rms-norm-per-head	yes	yes	1504	18.75	-	-	-	-	kept
45	fused-neon-attention-kernel	yes	yes	1542	18.29	-	-	-	-	reverted
46	gqa-paired-attention	yes	yes	1557	18.10	-	-	-	-	reverted
47	prealloc-x-int8-scratch	yes	yes	1551	18.17	-	-	-	-	reverted
48	neon-silu-swiglu-decoder	yes	yes	1504	18.75	-	-	-	-	reverted
49	fast-recip-gelu-swiglu	yes	yes	1506	18.72	-	-	-	-	reverted
50	reuse-im2col-buffer	yes	yes	1508	18.70	-	-	-	-	reverted
51	sgemm-single-token-attn	yes	yes	1625	17.35	-	-	-	-	reverted
52	pgo-profile-guided-opt	yes	yes	1510	18.68	-	-	-	-	reverted
53	threaded-gelu-encoder	yes	yes	1468	19.21	-	-	-	-	kept
54	neon-f32-to-int8-quantize	yes	yes	1464	19.26	-	-	-	-	reverted
55	fat-lto-codegen-units-1	yes	yes	1457	19.35	-	-	-	-	reverted
56	threaded-im2col-conv2d	yes	yes	1388	20.32	-	-	-	-	kept
57	im2col-safe-range-opt	yes	yes	1428	19.75	-	-	-	-	reverted
58	spin-count-8192	yes	yes	1414	19.94	-	-	-	-	reverted
59	threaded-prefill-swiglu	yes	yes	1373	20.54	-	-	-	-	kept
60	skip-condvar-notify-spinning	yes	yes	1411	20.00	-	-	-	-	reverted
61	threaded-layer-norm	yes	yes	1420	19.86	-	-	-	-	reverted
62	2pass-attention-vvexpf	yes	yes	1408	20.03	-	-	-	-	reverted
63	neon-dot-attention-bypass-vdsp	yes	yes	1481	19.04	-	-	-	-	reverted
63	sgemv-qk-scores-attention	yes	yes	1420	19.86	-	-	-	-	reverted
64	int4-decoder-weights	yes	yes	1368	20.61	-	-	-	-	reverted
65	vdsp-vsma-vec-scale-add	yes	yes	1419	19.87	-	-	-	-	reverted
